account_id,customer_id,type,currency,balance,status,opened_at,branch_id
A-2001,C-1408,SAVINGS,USD,5753.65,OPEN,2023-09-21 07:09:03,B-128
A-2002,C-1684,CHECKING,USD,1821.19,OPEN,2020-11-28T16:01:07,B-91
A-2003,C-2992,CHECKING,USD,1857.93,FROZEN,2025-02-14T02:36:00,B-61
A-2004,C-2646,SAVINGS,USD,1003.32,OPEN,2024-04-05 08:19:44,B-27
A-2005,C-2076,CHECKING,USD,3281.35,FROZEN,2022-07-11,B-57
A-2006,C-1504,CHECKING,USD,3240.47,OPEN,2024-09-15 01:06:09,B-147
A-2007,C-2208,CREDIT,USD,1761.72,OPEN,01/20/2018,B-131
A-2008,C-1448,CHECKING,USD,4005.53,CLOSED,2019-01-20T01:36:55,B-33
A-2009,C-2083,SAVINGS,USD,10094.27,FROZEN,2022-05-27T18:10:30,B-80
A-2010,C-2334,CHECKING,USD,1288.56,OPEN,01/31/2019 20:11,B-10
A-2011,C-2203,CHECKING,USD,2429.06,OPEN,2018-07-12,B-159
A-2012,C-2298,SAVINGS,USD,1628.67,OPEN,2025-02-18,B-187
A-2013,C-2125,SAVINGS,USD,744.87,OPEN,2025-04-07,B-41
A-2014,C-2713,SAVINGS,USD,6028.37,OPEN,02/05/2023 12:12,B-22
A-2015,C-1847,SAVINGS,USD,930.84,OPEN,2020-12-11 15:17:38,B-139
A-2016,C-2883,CHECKING,USD,2680.41,OPEN,2021-02-06T21:53:36,B-13
A-2017,C-1208,BROKERAGE,USD,1187.78,OPEN,08/09/2023,B-163
A-2018,C-2145,SAVINGS,USD,2676.41,OPEN,2024-02-06T19:54:56,B-132
A-2019,C-2591,CHECKING,USD,1009.23,CLOSED,10/19/2020 12:27,B-25
A-2020,C-1782,SAVINGS,USD,1278.1,OPEN,11/29/2022,B-60
A-2021,C-1545,SAVINGS,USD,2460.25,OPEN,2022-06-29 06:11:55,B-93
A-2022,C-2252,CHECKING,USD,1903.38,OPEN,2018-12-07T08:52:12,B-81
A-2023,C-2189,SAVINGS,USD,5842.85,FROZEN,2018-01-09T04:30:44,B-178
A-2024,C-2500,SAVINGS,USD,4027.35,OPEN,02/17/2019,B-186
A-2025,C-1963,CREDIT,USD,2006.44,OPEN,2021-06-13,B-162
A-2026,C-2061,CREDIT,USD,3258.61,CLOSED,2020-03-06T12:39:25,B-66
A-2027,C-1295,SAVINGS,USD,981.48,OPEN,2025-04-18T03:57:49,B-140
A-2028,C-1732,SAVINGS,USD,2526.95,OPEN,09/19/2023 11:44,B-11
A-2029,C-1984,CREDIT,USD,1603.24,OPEN,05/11/2021,B-74
A-2030,C-2250,SAVINGS,USD,3168.11,OPEN,07/04/2018 09:31,B-148
A-2031,C-2001,CREDIT,USD,2989.33,OPEN,2021-01-14,B-149
A-2032,C-1366,SAVINGS,USD,,OPEN,10/12/2020,B-59
A-2033,C-1339,CHECKING,USD,1549.76,OPEN,2025-05-15T16:29:15,B-11
