branch_id,name,city,state,country
B-1,Cervantes PLC,North Sarastad,Massachusetts,Pakistan
B-2,"Barrett, Williams and Johnson",South Melissa,Idaho,Saint Lucia
B-3,Jones and Sons,Stevenborough,Delaware,Jamaica
B-4,Munoz and Sons,Port Samanthafurt,North Dakota,Sri Lanka
B-5,"Benson, Snyder and Martin",East Davidfurt,South Carolina,Guatemala
B-6,Fletcher-Holmes,Thompsontown,Rhode Island,Oman
B-7,Johnston Ltd,Bowersstad,Florida,Saint Helena
B-8,Burch-Bell,East Eddie,Georgia,Northern Mariana Islands
B-9,"Townsend, Ramos and Lyons",New Carrie,Idaho,Afghanistan
B-10,Cox-Wells,Port Michael,Florida,Denmark
B-11,Simmons-Hunter,South Randyton,Oklahoma,Kuwait
B-12,Dixon Group,Frenchville,Wisconsin,Macedonia
B-13,Gallegos and Sons,Johnsontown,New York,British Virgin Islands
B-14,Sanders LLC,New Erica,South Dakota,Cocos (Keeling) Islands
B-15,"Davis, Trevino and Wade",Leblancview,Ohio,Tokelau
B-16,Chan-Mendoza,Scottview,Florida,Cameroon
B-17,Petty and Sons,East Stephanie,Virginia,Madagascar
B-18,Walters PLC,Jonberg,Minnesota,Moldova
B-19,"Hodge, Knight and Love",East Jessica,Minnesota,Iraq
B-20,Bennett PLC,Jasonton,Missouri,Ecuador
B-21,"Tyler, Mendoza and Lindsey",Port Deborahside,Arkansas,Faroe Islands
B-22,Sutton-Vasquez,Port Joelfort,Texas,Germany
B-23,Gates LLC,Lake Annaberg,Alabama,Tuvalu
B-24,"Jones, Hampton and Thompson",New Kristenfurt,Iowa,Montenegro
B-25,"Wells, Diaz and Brown",Krystalton,Mississippi,Ghana
B-26,Carroll-Lloyd,West Christopherview,California,Belarus
B-27,"Miranda, Nunez and Rivera",Andreland,Oregon,Saint Helena
B-28,Vargas-Lewis,Shannonfort,Minnesota,Sri Lanka
B-29,Brown Inc,North Jon,Nevada,Cayman Islands
B-30,"Smith, Dean and Pearson",East Jessicaland,Georgia,Gambia
B-31,Everett PLC,Port Jennifer,South Carolina,Iraq
B-32,Patel-Holland,Johnsonhaven,New Mexico,Cuba
B-33,Martin Group,Hallburgh,Florida,Kazakhstan
B-34,"Price, Duran and Stevens",Heatherhaven,Ohio,Niger
B-35,Wong-Fisher,Port Dana,Indiana,Wallis and Futuna
B-36,"Cohen, Mccullough and Wolfe",Jamesland,South Dakota,Sierra Leone
B-37,Murphy-Lopez,Hunterville,Georgia,Aruba
B-38,Martinez Inc,Meganstad,New York,Sri Lanka
B-39,Nelson-Campbell,Marshport,New Mexico,Albania
B-40,"Williams, Taylor and Donaldson",Fosterport,Ohio,Papua New Guinea
B-41,Crawford-Evans,Watkinsport,Colorado,Italy
B-42,Cruz LLC,Vazquezton,Kentucky,Togo
B-43,Johnson-Russell,Leroybury,New Mexico,Congo
B-44,Chapman Group,Annetteburgh,New Jersey,Kazakhstan
B-45,Rodriguez Ltd,Derrickfurt,Iowa,Gibraltar
B-46,Williams LLC,Ballburgh,Mississippi,Guernsey
B-47,Martin and Sons,Gutierrezborough,Nevada,French Southern Territories
B-48,Archer LLC,Sabrinaside,Oregon,Serbia
B-49,Carr-Bailey,Robertchester,Kansas,French Southern Territories
B-50,Molina-Baxter,Julieport,Virginia,Equatorial Guinea
