device_id,fingerprint,os,model
D-4001,dfp-ok0mihsub9t9,Windows,iPhone 14
D-4002,dfp-h25whvlz24t2,Windows,Pixel 7
D-4003,dfp-4cslad3x08qe,Android,iPhone 14
D-4004,dfp-a1jeljfl2sqs,Windows,MacBook Air
D-4005,dfp-p7yd3nkjxs6n,Android,Surface Pro 9
D-4006,dfp-6mvv6vkcflyf,iOS,iPhone 15
D-4007,dfp-xucam3qawjoj,Windows,Pixel 7
D-4008,dfp-y0922wnky4ak,Linux,Galaxy S22
D-4009,dfp-4k1u2n7bbf68,Windows,ThinkPad T14
D-4010,dfp-52y7g4phfcew,Android,iPhone 14
D-4011,dfp-qq3bot4vrk5o,Linux,ThinkPad T14
D-4012,dfp-yhuweri4cd0s,iOS,MacBook Air
D-4013,dfp-l2aqfxwr4taz,iOS,iPhone 14
D-4014,dfp-bsb3tuzgz83c,Windows,Pixel 7
D-4015,dfp-p46txsd7jyzk,Android,Galaxy S22
D-4016,dfp-37359wtvesbb,macOS,MacBook Air
D-4017,dfp-ivlwzmfj6m9t,Android,iPhone 14
D-4018,dfp-o4z5by6z24p0,macOS,Galaxy S22
D-4019,dfp-t699f4cg1lec,Android,Surface Pro 9
D-4020,dfp-s9323kmt2y92,Android,Galaxy S22
D-4021,dfp-zvv6nfmrk4p1,Android,iPhone 14
D-4022,dfp-wm0icjeu6x5i,Linux,Surface Pro 9
D-4023,dfp-9q46mp3cqgjx,Linux,Galaxy S22
D-4024,dfp-8ip25xo8tufl,iOS,iPhone 15
D-4025,dfp-2zy0fcwlyacm,Windows,iPhone 15
D-4026,dfp-d8d52c2mr0n1,Windows,Surface Pro 9
D-4027,dfp-h15l7bn23y4u,Windows,Surface Pro 9
D-4028,dfp-quugppvnomxn,Android,Pixel 7
D-4029,dfp-d2malgvhlb0p,macOS,iPhone 15
D-4030,dfp-i70g5zx4in46,Linux,Galaxy S22
D-4031,dfp-avhzyexr42sf,iOS,Pixel 7
D-4032,dfp-pc46cb13temw,macOS,MacBook Air
