login_id,customer_id,device_id,geo_id,ts,channel,result
L-7001,C-1130,D-4057,G-5105,2025-03-08T01:55:16,IVR,FAIL
L-7002,C-1299,D-4432,G-6183,01/06/2024,WEB,FAIL
L-7003,C-2441,D-4772,G-5237,2024-05-03T07:49:08,MOBILE,MFA_CHALLENGE
L-7004,C-1869,D-4109,G-5966,01/28/2025 05:31,MOBILE,FAIL
L-7005,C-1569,D-4778,G-6078,2024-06-19 19:37:57,IVR,MFA_CHALLENGE
L-7006,C-1802,D-4594,G-5409,2025-06-23 13:37:47,IVR,MFA_CHALLENGE
L-7007,C-2776,D-4269,G-5028,2025-04-12 15:08:20,IVR,SUCCESS
L-7008,C-1014,D-4540,G-5591,04/07/2025 12:28,MOBILE,SUCCESS
L-7009,C-2097,D-4316,G-6119,08/23/2024,WEB,FAIL
L-7010,C-1441,D-4556,G-5347,06/04/2025 05:01,MOBILE,MFA_CHALLENGE
L-7011,C-2608,D-4781,G-6367,06/15/2024 15:15,MOBILE,SUCCESS
L-7012,C-1914,D-4769,G-5867,07/11/2025,MOBILE,FAIL
L-7013,C-1134,D-4608,G-5308,2025-06-29T01:22:35,IVR,MFA_CHALLENGE
L-7014,C-2801,D-4384,G-5687,2024-10-27 11:12:11,MOBILE,MFA_CHALLENGE
L-7015,C-2757,D-4650,G-5599,04/10/2024 15:11,MOBILE,MFA_CHALLENGE
L-7016,C-1667,D-4729,G-5703,09/10/2024,WEB,MFA_CHALLENGE
L-7017,C-1209,D-4746,G-5370,2024-07-12,IVR,FAIL
L-7018,C-2723,D-4089,G-5172,2025-02-23T16:30:01,WEB,FAIL
L-7019,C-2033,D-4510,G-6234,2024-03-18T09:48:33,IVR,FAIL
L-7020,C-2723,D-4475,G-5113,2025-07-20,WEB,SUCCESS
L-7021,C-2472,D-4150,G-6389,2024-03-21 20:55:38,WEB,FAIL
L-7022,C-2469,D-4573,G-5839,11/08/2024 21:56,WEB,MFA_CHALLENGE
L-7023,C-2303,D-4698,G-5241,2025-06-07,MOBILE,SUCCESS
L-7024,C-1821,D-4713,G-5215,2024-09-21T06:38:12,WEB,SUCCESS
L-7025,C-2106,D-4636,G-5196,07/05/2025 13:37,MOBILE,MFA_CHALLENGE
L-7026,C-1324,D-4026,G-6016,2025-03-06 10:30:20,IVR,MFA_CHALLENGE
L-7027,C-1530,D-4767,G-6045,2025-07-13 07:43:05,IVR,SUCCESS
L-7028,C-1219,D-4322,G-6175,06/28/2025,IVR,SUCCESS
L-7029,C-1270,D-4354,G-5296,01/18/2024 18:18,IVR,FAIL
L-7030,C-1399,D-4288,G-6165,06/13/2024,MOBILE,SUCCESS
L-7031,C-1730,D-4479,G-5757,08/15/2024,MOBILE,SUCCESS
L-7032,C-2372,D-4203,G-5145,03/24/2024,MOBILE,MFA_CHALLENGE
L-7033,C-1395,D-4467,G-5613,2025-05-17 11:03:28,MOBILE,MFA_CHALLENGE
L-7034,C-2520,D-4282,G-5955,05/02/2024 05:24,MOBILE,SUCCESS
L-7035,C-2590,D-4110,G-5867,2024-09-15T16:07:14,IVR,SUCCESS
L-7036,C-2655,D-4381,G-5480,2024-06-16,IVR,MFA_CHALLENGE
L-7037,C-1045,D-4118,G-5539,12/23/2024 06:37,MOBILE,MFA_CHALLENGE
L-7038,C-1440,D-4369,G-6416,2025-05-03 11:01:12,MOBILE,FAIL
L-7039,C-2408,D-4024,G-5618,02/04/2024,MOBILE,FAIL
L-7040,C-1226,D-4351,G-5260,2024-12-23T00:08:19,MOBILE,SUCCESS
L-7041,C-2175,D-4569,G-5088,2025-04-19T06:07:09,IVR,SUCCESS
L-7042,C-2603,D-4514,G-5083,2025-07-26T16:31:44,IVR,MFA_CHALLENGE
L-7043,C-2866,D-4260,G-5300,03/20/2024 05:53,IVR,MFA_CHALLENGE
L-7044,C-1674,D-4699,G-5895,2024-06-17 05:52:05,WEB,FAIL
L-7045,C-1593,D-4094,G-6385,2024-12-25,MOBILE,FAIL
L-7046,C-1775,D-4748,G-5859,04/01/2025,MOBILE,SUCCESS
L-7047,C-2294,D-4453,G-5406,04/27/2024,MOBILE,MFA_CHALLENGE
L-7048,C-1891,D-4407,G-5788,2025-03-27,IVR,FAIL
L-7049,C-1534,D-4305,G-6036,2024-06-16,WEB,MFA_CHALLENGE
L-7050,C-1316,D-4629,G-5694,2025-05-18T16:05:14,WEB,FAIL
L-7051,C-1837,D-4029,G-6377,04/24/2025,MOBILE,SUCCESS
L-7052,C-1701,D-4411,G-6177,2025-06-25 06:08:28,WEB,SUCCESS
L-7053,C-1367,D-4128,G-6293,06/21/2025 03:55,WEB,SUCCESS
L-7054,C-1839,D-4255,G-6490,2025-06-15T23:31:14,MOBILE,SUCCESS
L-7055,C-1716,D-4228,G-5633,2024-04-02T02:07:06,IVR,FAIL
L-7056,C-1944,D-4384,G-6266,2025-03-04,WEB,SUCCESS
L-7057,C-1166,D-4595,G-5658,08/01/2024,MOBILE,MFA_CHALLENGE
L-7058,C-2217,D-4678,G-5493,04/13/2025,MOBILE,SUCCESS
L-7059,C-1227,D-4580,G-5089,2024-09-22 13:38:31,WEB,SUCCESS
L-7060,C-2939,D-4466,G-5983,2025-06-26,MOBILE,SUCCESS
L-7061,C-1709,D-4103,G-5249,2024-03-25T17:25:05,IVR,SUCCESS
L-7062,C-2143,D-4156,G-6334,02/14/2024 11:06,WEB,MFA_CHALLENGE
L-7063,C-1134,D-4797,G-5520,2024-07-05T06:31:44,MOBILE,SUCCESS
L-7064,C-1503,D-4062,G-6111,07/20/2025 11:56,MOBILE,MFA_CHALLENGE
L-7065,C-1712,D-4283,G-5516,12/26/2024,IVR,SUCCESS
L-7066,C-2110,D-4458,G-5364,12/12/2024 21:59,IVR,SUCCESS
L-7067,C-2759,D-4162,G-5867,09/20/2024,IVR,FAIL
L-7068,C-2268,D-4410,G-6086,2024-10-12,IVR,SUCCESS
L-7069,C-1997,D-4373,G-5978,08/20/2024,MOBILE,SUCCESS
L-7070,C-1497,D-4127,G-5562,04/16/2024 14:24,IVR,MFA_CHALLENGE
L-7071,C-2333,D-4066,G-5307,07/12/2024 20:48,MOBILE,FAIL
L-7072,C-2948,D-4047,G-5524,2024-09-26T10:59:39,IVR,FAIL
L-7073,C-1973,D-4282,G-5231,08/08/2024,WEB,FAIL
