txn_id,src_account_id,dst_account_id,merchant_id,amount,currency,channel,ts,status
T-8001,A-3280,A-3886,M-3204,89.66,USD,ECOM,2024-07-31,APPROVED
T-8002,A-2743,A-3676,M-3259,12.78,USD,POS,2024-09-30T01:25:00,APPROVED
T-8003,A-5409,A-3826,M-3294,8.79,USD,WIRE,2024-07-09 15:42:39,APPROVED
T-8004,A-2952,A-2931,M-3181,73.23,USD,CASH,03/28/2024,APPROVED
T-8005,A-3788,A-5344,M-3248,11.91,USD,POS,2024-08-25T07:20:18,APPROVED
T-8006,A-2859,A-3134,M-3021,20.38,USD,ECOM,2024-04-24,APPROVED
T-8007,A-4836,A-3172,M-3345,12.76,USD,CASH,2024-03-15,APPROVED
T-8008,A-5109,A-2137,M-3185,24.58,USD,ATM,2024-10-28 18:07:22,APPROVED
T-8009,A-5374,A-5461,M-3095,23.82,USD,WIRE,2024-02-27 16:58:29,APPROVED
T-8010,A-4441,A-2774,M-3198,7.86,USD,POS,01/08/2025 10:56,APPROVED
T-8011,A-4280,A-4861,M-3077,67.5,USD,ATM,2024-01-02 21:29:16,APPROVED
T-8012,A-5246,A-4449,M-3312,45.68,USD,POS,2024-05-04T07:00:50,APPROVED
T-8013,A-3534,A-2555,M-3290,10.46,USD,CASH,2024-12-24,APPROVED
T-8014,A-2581,A-4488,M-3491,25.8,USD,WIRE,09/03/2024,APPROVED
T-8015,A-4087,A-3460,M-3469,115.73,USD,WIRE,2025-06-04T19:43:12,APPROVED
T-8016,A-3860,A-2922,M-3454,12.49,USD,ATM,2025-05-01,APPROVED
T-8017,A-2108,A-2733,M-3483,29.38,USD,POS,01/29/2024 13:17,APPROVED
T-8018,A-3095,A-5161,M-3115,34.24,USD,WIRE,2025-04-07 00:21:41,APPROVED
T-8019,A-3304,A-2684,M-3217,24.5,USD,POS,01/04/2024,APPROVED
T-8020,A-2231,A-3684,M-3003,32.83,USD,CASH,07/02/2025 10:57,APPROVED
T-8021,A-2657,A-2361,M-3423,40.28,USD,WIRE,09/18/2024 19:10,APPROVED
