account_id,customer_id,type,currency,balance,status,opened_at,branch_id
A-2000,C-1025,LOAN,GBP,21244.86,CLOSED,04/09/2021 15:04,B-17
A-2001,C-1172,LOAN,GBP,75225.78,CLOSED,04/01/2023 12:59,B-49
A-2002,C-1129,LOAN,USD,74927.52,ACTIVE,09/06/2021 17:57,B-6
A-2003,C-1487,CURRENT,USD,78145.18,SUSPENDED,01/06/2024 16:30,B-23
A-2004,C-1020,SAVINGS,EUR,20016.13,ACTIVE,06/29/2025 20:42,B-49
A-2005,C-1318,CURRENT,EUR,47408.75,ACTIVE,09/24/2022 18:04,B-10
A-2006,C-1288,LOAN,GBP,76713.12,ACTIVE,09/18/2022 03:14,B-14
A-2007,C-1310,SAVINGS,EUR,96475.61,ACTIVE,11/06/2022 21:49,B-39
A-2008,C-1296,CREDIT,INR,67766.99,CLOSED,12/30/2022 16:29,B-2
A-2009,C-1203,CURRENT,USD,59250.58,SUSPENDED,07/27/2025 14:52,B-46
A-2010,C-1124,CREDIT,INR,80572.24,SUSPENDED,06/26/2024 17:04,B-7
A-2011,C-1400,CREDIT,INR,42894.96,CLOSED,01/28/2023 14:01,B-3
A-2012,C-1035,CREDIT,USD,84972.61,CLOSED,07/30/2022 06:58,B-33
A-2013,C-1054,CREDIT,JPY,70760.13,CLOSED,07/17/2025 01:23,B-28
A-2014,C-1090,CREDIT,INR,80839.1,SUSPENDED,12/11/2022 14:00,B-47
A-2015,C-1396,LOAN,JPY,82590.89,SUSPENDED,02/20/2024 09:56,B-31
A-2016,C-1137,CURRENT,USD,27964.93,CLOSED,11/23/2022 10:11,B-21
A-2017,C-1124,LOAN,INR,61072.14,CLOSED,10/18/2020 05:00,B-49
A-2018,C-1172,LOAN,GBP,18265.8,ACTIVE,02/14/2025 12:34,B-2
A-2019,C-1181,CREDIT,GBP,88043.97,SUSPENDED,06/04/2025 22:05,B-17
A-2020,C-1450,SAVINGS,INR,94811.45,ACTIVE,02/09/2022 04:05,B-18
A-2021,C-1123,LOAN,JPY,55562.1,ACTIVE,11/22/2021 18:34,B-47
A-2022,C-1353,LOAN,JPY,79313.99,ACTIVE,07/24/2022 10:20,B-31
A-2023,C-1150,LOAN,EUR,30689.98,SUSPENDED,01/21/2021 04:19,B-15
A-2024,C-1188,CREDIT,JPY,99663.48,SUSPENDED,06/11/2023 11:43,B-31
A-2025,C-1169,LOAN,GBP,30731.64,ACTIVE,11/27/2024 20:33,B-23
A-2026,C-1061,CURRENT,GBP,12043.52,SUSPENDED,03/23/2024 03:17,B-47
A-2027,C-1486,CURRENT,EUR,21716.83,CLOSED,09/28/2021 11:16,B-49
