merchant_id,name,mcc,country
M-3000,"Jimenez, Navarro and Smith",7678,Saint Barthelemy
M-3001,"Hernandez, Myers and Richardson",7357,Zimbabwe
M-3002,Ferguson-Gallagher,8391,New Caledonia
M-3003,Andrews-Davis,7626,Gibraltar
M-3004,Harris-Jensen,8094,Namibia
M-3005,"Vance, Martin and Nguyen",6183,Netherlands Antilles
M-3006,Lambert-Fuller,1276,Algeria
M-3007,Rojas-Tanner,7381,Morocco
M-3008,"Johnson, Adams and Alvarez",2938,Serbia
M-3009,"Jenkins, Garza and Shea",9762,Bahrain
M-3010,Andrews-Sanders,1096,Angola
M-3011,"Smith, Casey and Ellis",2036,Poland
M-3012,"Jimenez, Hansen and Jennings",1745,Thailand
M-3013,"Mitchell, Hill and Mckay",2189,Congo
M-3014,"Pham, Boone and Rodriguez",6860,Kyrgyz Republic
M-3015,Roberts Group,9238,Malaysia
M-3016,"Cooper, Ross and Perkins",2738,Sri Lanka
M-3017,"Rodriguez, James and Frank",5748,Marshall Islands
M-3018,Baker LLC,5937,Algeria
M-3019,"Jackson, Bowman and Drake",2417,Turkey
M-3020,Murphy and Sons,5612,British Indian Ocean Territory (Chagos Archipelago)
M-3021,Martin and Sons,8170,Kuwait
M-3022,Sanders LLC,7249,Mexico
M-3023,"Winters, Smith and Stephens",7473,Faroe Islands
M-3024,"Bass, Howard and Garcia",1504,Cyprus
M-3025,Hawkins PLC,8765,Montenegro
M-3026,"Lee, Wade and Williams",3561,Liberia
M-3027,Estrada-Fernandez,9740,Dominica
M-3028,"Larson, Wells and Whitaker",4602,Samoa
M-3029,Tran Group,3234,Tonga
M-3030,Smith Group,7406,Solomon Islands
M-3031,Herman-Williams,9941,Croatia
M-3032,Frazier Ltd,5832,Iceland
M-3033,"Powell, Vargas and Booth",3360,Nauru
M-3034,Newman-Smith,5883,Zambia
M-3035,Hughes-Davis,7113,Eritrea
M-3036,"Lee, Gonzales and Weaver",1182,Tanzania
M-3037,Reynolds-Hudson,3316,Macao
M-3038,Sloan-Gaines,3019,Palau
M-3039,Schmidt and Sons,1684,Israel
M-3040,"Lara, Johnson and Welch",1082,Costa Rica
M-3041,Watson-Watts,7456,Australia
M-3042,Nelson LLC,9800,Gabon
M-3043,Anderson-Larson,9970,Aruba
M-3044,Webb-Ortega,2394,Zimbabwe
M-3045,Hansen-Hickman,5992,Svalbard & Jan Mayen Islands
M-3046,Martin-Case,4441,Honduras
M-3047,Cobb and Sons,6633,Brazil
M-3048,Kent-Carr,4469,Jordan
M-3049,Taylor-Randolph,7760,Seychelles
M-3050,Lopez and Sons,9397,British Virgin Islands
M-3051,"Smith, Young and Frederick",3333,Oman
M-3052,"Phillips, Mcguire and Green",3637,Gambia
M-3053,Lester-Torres,4014,France
M-3054,"Floyd, Watson and Walker",4617,Jordan
M-3055,Jackson-Charles,5140,Svalbard & Jan Mayen Islands
M-3056,Ferguson LLC,4183,Albania
M-3057,Rivas-Montes,2877,France
M-3058,Chandler-Robinson,3971,Chad
M-3059,"Poole, Lam and Brown",1891,Saint Vincent and the Grenadines
M-3060,Foster Ltd,9992,Colombia
M-3061,Arias Inc,8557,Vanuatu
M-3062,"Maxwell, Young and Maxwell",2198,Cambodia
M-3063,"Booker, Simpson and Coleman",5762,Faroe Islands
M-3064,"Day, Dennis and Williamson",2103,Micronesia
M-3065,Joseph-Morris,5107,Greece
M-3066,White Ltd,2608,Gambia
M-3067,Maldonado LLC,4234,Burundi
M-3068,"Villarreal, Garcia and Wilson",8982,Macao
M-3069,Burns-Mendez,6420,Kiribati
M-3070,Brown Inc,6851,Malta
M-3071,"Williams, Parker and Davis",3100,Kiribati
M-3072,Parker-Ruiz,4842,Serbia
M-3073,Fowler-Kelly,2639,Cambodia
M-3074,Gonzales-Rice,5671,Samoa
