txn_id,src_account_id,dst_account_id,amount,currency,channel,ts,status,merchant_id
T-6000,A-2631,A-2272,208.06,USD,ONLINE,2024-05-15T02:51:32,SUCCESS,M-3135
T-6001,A-2221,A-2531,510.62,USD,WIRE,2023-09-29T22:58:18,FAILED,M-3024
T-6002,A-2194,A-2197,3286.1,USD,ATM,2025-04-03T15:31:56,PENDING,M-3134
T-6003,A-2571,A-2425,532.04,USD,ONLINE,2024-02-27T05:19:40,PENDING,M-3191
T-6004,A-2469,A-2681,4414.71,USD,ATM,2025-03-13T06:15:27,PENDING,M-3109
T-6005,A-2411,A-2516,3289.37,USD,WIRE,2024-11-14T19:58:48,FAILED,M-3086
T-6006,A-2360,A-2322,4957.36,USD,ONLINE,2025-05-21T11:38:14,FAILED,M-3140
T-6007,A-2648,A-2440,1620.64,USD,WIRE,2025-02-05T04:27:31,PENDING,M-3185
T-6008,A-2219,A-2384,2753.44,USD,ONLINE,2024-07-06T04:24:41,FAILED,M-3196
T-6009,A-2458,A-2406,3632.93,USD,WIRE,2025-02-19T07:13:44,SUCCESS,M-3000
T-6010,A-2530,A-2138,37.81,USD,ATM,2024-04-25T16:27:40,FAILED,M-3077
T-6011,A-2022,A-2282,2558.8,USD,WIRE,2024-05-25T07:24:28,SUCCESS,M-3141
T-6012,A-2096,A-2038,1781.5,USD,ONLINE,2024-10-27T17:33:59,FAILED,M-3117
T-6013,A-2596,A-2255,1284.94,USD,POS,2025-04-30T03:03:53,PENDING,M-3059
T-6014,A-2409,A-2582,3672.66,USD,MOBILE,2024-07-09T01:39:43,SUCCESS,M-3055
T-6015,A-2499,A-2590,2978.18,USD,POS,2025-02-28T03:53:30,PENDING,M-3024
T-6016,A-2590,A-2390,3901.71,USD,ONLINE,2024-09-20T00:42:08,FAILED,M-3020
T-6017,A-2426,A-2123,1137.45,USD,POS,2025-02-28T18:44:15,PENDING,M-3197
T-6018,A-2647,A-2391,1527.39,USD,ONLINE,2025-08-14T23:02:54,PENDING,M-3013
T-6019,A-2578,A-2153,2514.5,USD,ATM,2025-02-21T18:04:42,SUCCESS,M-3083
T-6020,A-2689,A-2402,3765.44,USD,WIRE,2023-10-20T00:51:12,SUCCESS,M-3114
T-6021,A-2227,A-2442,3932.91,USD,ATM,2025-01-03T11:32:55,FAILED,M-3074
T-6022,A-2084,A-2487,3727.85,USD,MOBILE,2024-11-05T21:09:30,FAILED,M-3146
T-6023,A-2087,A-2408,2175.28,USD,ATM,2025-07-27T21:34:28,FAILED,M-3128
T-6024,A-2572,A-2202,1979.62,USD,ATM,2025-01-03T18:12:05,PENDING,M-3124
T-6025,A-2630,A-2536,1215.36,USD,MOBILE,2023-09-30T01:29:00,FAILED,M-3063
T-6026,A-2589,A-2091,3360.38,USD,ONLINE,2023-09-28T12:01:37,FAILED,M-3028
T-6027,A-2195,A-2328,2971.42,USD,ONLINE,2025-04-29T11:43:58,SUCCESS,M-3088
T-6028,A-2358,A-2631,3117.79,USD,POS,2025-05-31T02:47:17,SUCCESS,M-3113
T-6029,A-2204,A-2382,3789.88,USD,POS,2024-04-17T16:14:09,PENDING,M-3039
T-6030,A-2055,A-2248,4634.01,USD,POS,2023-11-29T19:24:00,FAILED,M-3158
T-6031,A-2113,A-2312,2358.6,USD,ATM,2024-04-26T08:14:13,PENDING,M-3115
T-6032,A-2550,A-2216,2734.39,USD,WIRE,2024-10-04T08:10:32,FAILED,M-3052
T-6033,A-2637,A-2144,3495.28,USD,MOBILE,2024-12-06T06:56:46,PENDING,M-3177
T-6034,A-2679,A-2539,1281,USD,ONLINE,2024-02-14T16:39:51,SUCCESS,M-3011
T-6035,A-2632,A-2277,2327.48,USD,POS,2024-02-09T10:46:05,FAILED,M-3013
T-6036,A-2676,A-2277,4261.15,USD,POS,2024-02-10T20:39:10,SUCCESS,M-3169
T-6037,A-2299,A-2664,1159.69,USD,WIRE,2024-06-11T03:09:40,PENDING,M-3098
T-6038,A-2101,A-2323,4334.53,USD,POS,2023-12-06T07:58:03,SUCCESS,M-3124
T-6039,A-2203,A-2512,2805.63,USD,POS,2025-06-12T23:12:08,SUCCESS,M-3117
T-6040,A-2542,A-2312,2452.21,USD,POS,2024-10-21T22:51:16,FAILED,M-3085
T-6041,A-2360,A-2363,1515.12,USD,ONLINE,2024-07-14T16:02:20,SUCCESS,M-3160
T-6042,A-2640,A-2263,4452.56,USD,WIRE,2025-03-03T15:33:23,FAILED,M-3099
T-6043,A-2230,A-2155,4486.39,USD,POS,2025-03-04T00:23:27,PENDING,M-3087
T-6044,A-2391,A-2533,3064.18,USD,MOBILE,2025-01-21T08:56:03,SUCCESS,M-3173
T-6045,A-2586,A-2156,4852.83,USD,ONLINE,2024-07-03T02:26:51,FAILED,M-3109
T-6046,A-2555,A-2134,3264.1,USD,WIRE,2023-08-27T13:12:08,PENDING,M-3052
T-6047,A-2207,A-2141,3444.22,USD,ATM,2023-11-12T13:26:58,FAILED,M-3079
T-6048,A-2148,A-2671,4585.98,USD,POS,2025-05-20T12:47:37,PENDING,M-3144
T-6049,A-2545,A-2121,1591.4,USD,POS,2024-02-16T02:28:22,FAILED,M-3047
T-6050,A-2423,A-2421,2217.81,USD,ATM,2024-09-30T01:28:58,SUCCESS,M-3077
T-6051,A-2109,A-2134,135.86,USD,WIRE,2024-04-26T07:06:24,FAILED,M-3047
T-6052,A-2620,A-2580,1158.4,USD,ATM,2024-04-27T17:44:38,PENDING,M-3156
T-6053,A-2026,A-2367,3442.27,USD,ATM,2025-03-30T11:47:24,PENDING,M-3020
T-6054,A-2619,A-2480,3249.59,USD,MOBILE,2023-08-26T19:34:19,FAILED,M-3182
T-6055,A-2485,A-2140,970.33,USD,MOBILE,2025-04-12T20:38:39,SUCCESS,M-3041
T-6056,A-2276,A-2422,3713.12,USD,ATM,2025-06-26T13:41:43,SUCCESS,M-3056
T-6057,A-2181,A-2449,2452.26,USD,MOBILE,2023-09-15T16:34:27,SUCCESS,M-3157
T-6058,A-2437,A-2414,213.92,USD,ONLINE,2024-01-03T13:10:22,FAILED,M-3198
T-6059,A-2626,A-2585,2683.12,USD,WIRE,2024-11-23T19:37:27,SUCCESS,M-3152
T-6060,A-2462,A-2467,4389.51,USD,WIRE,2024-05-15T16:02:02,PENDING,M-3010
